modelo_ia,metric,n_inclusive,n_neutral,median_inclusive,iqr_inclusive,median_neutral,iqr_neutral,u_statistic,p_value,rank_biserial,p_value_holm_family
DALL-E,clip_racial_diversity_margin,8,8,0.002278462052345276,0.0036079734563827515,0.0035751312971115112,0.005051411688327789,32.0,1.0,0.0,1.0
DALL-E,clip_gender_diversity_margin,8,8,0.0030376389622688293,0.0021160170435905457,0.003779187798500061,0.008694063872098923,27.0,0.6453768453768453,-0.15625,1.0
Gemini (NanoBanana),clip_racial_diversity_margin,8,8,0.0013786479830741882,0.007202282547950745,0.0017764046788215637,0.00723092257976532,24.0,0.4418026418026417,-0.25,1.0
Gemini (NanoBanana),clip_gender_diversity_margin,8,8,0.0008660033345222473,0.006340343505144119,0.00522516667842865,0.004419185221195221,21.0,0.2786324786324786,-0.34375,1.0
Midjourney,clip_racial_diversity_margin,8,8,-0.00037063658237457275,0.005148041993379593,-0.0007104575634002686,0.0060237981379032135,40.0,0.4418026418026417,0.25,1.0
Midjourney,clip_gender_diversity_margin,8,8,0.0035458505153656006,0.005119558423757553,0.0019173994660377502,0.005006629973649979,39.0,0.5053613053613053,0.21875,1.0
Whisk,clip_racial_diversity_margin,8,8,-0.0003916546702384949,0.005763541907072067,-0.00209740549325943,0.006238430738449097,35.0,0.7984459984459983,0.09375,1.0
Whisk,clip_gender_diversity_margin,8,8,0.0018191784620285034,0.009676732122898102,0.002918258309364319,0.01079510897397995,25.0,0.5053613053613053,-0.21875,1.0
